Case,"	Precursor","	Domain Size", Num turbines, streamwise spacing, lateral spacing, Controller,"		Status", Frontier location
1," 	Med WS/Low TI","	4.5km x 2km",1,"  	   N/A","	      	       N/A","    		Baseline",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/baseline
2," 	Med WS/Low TI","	4.5km x 2km",1,"  	   N/A","	      	       N/A","    		Helix A=2 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/ccwhelix_St03_A20
3," 	Med WS/Low TI","	4.5km x 2km",1,"  	   N/A","	      	       N/A","    		Helix A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/ccwhelix_St03_A40
4," 	Med WS/Low TI","	4.5km x 2km",1,"  	   N/A","	      	       N/A","    		Pulse A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/dic_St03_A40
5," 	Med WS/Low TI","	4.5km x 2km",1,"  	   N/A","	      	       N/A","    		Wake Steering 20deg",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/wakesteering_20deg
6," 	Med WS/Low TI","	4.5km x 2km",2,5D,0D,    Baseline,Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/baseline_2T
7," 	Med WS/Low TI","	4.5km x 2km",2,5D,0D,"    		Helix A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/ccwhelix_St03_A40_2T
8," 	Med WS/Low TI","	4.5km x 2km",2,5D,0D,"    		Pulse A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/dic_St03_A40_2T
9," 	Med WS/Low TI","	4.5km x 2km",2,5D,0D,"    		S2S A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/sideside_St03_A40_2T
10," 	Med WS/Low TI","	4.5km x 2km",2,5D,0D,"    		Wake Steering 20deg",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/wakesteering_20deg_2T
11," 	Med WS/Low TI","	4.5km x 2km",2,5D,0.5D,    Baseline,Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_0p5D/baseline
12," 	Med WS/Low TI","	4.5km x 2km",2,5D,0.5D,"    		Helix A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_0p5D/ccwhelix_St03_A40
13," 	Med WS/Low TI","	4.5km x 2km",2,5D,0.5D,"    		Pulse A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_0p5D/dic_St03_A40
14," 	Med WS/Low TI","	4.5km x 2km",2,5D,0.5D,"    		S2S A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_0p5D/sideside_St03_A40
15," 	Med WS/Low TI","	4.5km x 2km",2,5D,0.5D,"    		Wake Steering 20deg",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_0p5D/wakesteering_20deg
16," 	Med WS/Low TI","	4.5km x 2km",2,5D,-0.5D,    Baseline,Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_-0p5D/baseline
17," 	Med WS/Low TI","	4.5km x 2km",2,5D,-0.5D,"    		Helix A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_-0p5D/ccwhelix_St03_A40
18," 	Med WS/Low TI","	4.5km x 2km",2,5D,-0.5D,"    		Pulse A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_-0p5D/dic_St03_A40
19," 	Med WS/Low TI","	4.5km x 2km",2,5D,-0.5D,"    		S2S A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_-0p5D/sideside_St03_A40
20," 	Med WS/Low TI","	4.5km x 2km",2,5D,-0.5D,"    		Wake Steering -20deg",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/medWS_lowTI/offset_-0p5D/wakesteering_-20deg
21,Low WS/Low TI,7km x 2 km,2,5D,0D,"    		Baseline",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/lowWS_lowTI/baseline_2T
22,Low WS/Low TI,7km x 2 km,2,5D,0D,"    		Helix A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/lowWS_lowTI/ccwhelix_St03_A40_2T
23,Low WS/Low TI,7km x 2 km,2,5D,0D,"    		Pulse A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/lowWS_lowTI/dic_St03_A40_2T
24,Low WS/Low TI,7km x 2 km,2,5D,0D,"    		S2S A=4 St=0.3",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/lowWS_lowTI/sideside_St03_A40_2T
25,Low WS/Low TI,7km x 2 km,2,5D,0D,"    		Wake Steering 20deg",Done,/projects/ssc/jfrederi/amr-wind-runs/snl_precursors/lowWS_lowTI/wakesteering_20deg_2T
